file_path,satd_count,satd_text,satd_age_days,satd_change_count
annotations/src/main/java/org/hibernate/cfg/beanvalidation/BeanValidationEventListener.java,2,FIXME review exception model | null is bad and excluded by instanceof => exception is raised,6221,0
annotations/src/main/java/org/hibernate/cfg/beanvalidation/TypeSafeActivator.java,1,FIXME add collection of components,6214,0
annotations/src/main/java/org/hibernate/cfg/BinderHelper.java,1,YUCK!  but cannot think of a clean way to do this given the string-config based scheme,5998,0
annotations/src/main/java/org/hibernate/cfg/CopyIdentifierComponentSecondPass.java,2,FIXME set optional? | FIXME take care of Formula,5949,0
annotations/src/main/java/org/hibernate/cfg/Ejb3Column.java,1,TODO force to not null if available? This is a (bad) user choice.,5858,0
annotations/src/main/java/org/hibernate/cfg/IndexColumn.java,1,TODO move it to a getter based system and remove the constructor,6137,1
annotations/src/main/java/org/hibernate/cfg/PropertyContainer.java,1,TODO make those hardcoded tests more portable (through the bytecode provider?),5989,0
annotations/src/main/java/org/hibernate/type/WrappedMaterializedBlobType.java,1,todo name these annotation types for addition to the registry,5854,0
annotations/src/test/java/org/hibernate/test/annotations/beanvalidation/BeanValidationGroupsTest.java,1,TODO - seems this explicit case is necessary with JDK 5 (at least on Mac). With Java 6 there is no problem,6209,0
annotations/src/test/java/org/hibernate/test/annotations/beanvalidation/HibernateTraversableResolverTest.java,2,toString works since hibernate validator's Path implementation works accordingly. Should do a Path comparison though,6163,0
annotations/src/test/java/org/hibernate/test/annotations/collectionelement/Boy.java,1,"TODO migration to ElementCollection \""element.serial\""??",6213,0
annotations/src/test/java/org/hibernate/test/annotations/collectionelement/indexedCollection/Sale.java,1,"TODO migrate to @ElementCollection, what about @CollectionId",6213,0
annotations/src/test/java/org/hibernate/test/annotations/derivedidentities/e1/b2/IdClassGeneratedValueManyToOneTest.java,1,"why does this cause a failure?
Customer c2 = new Customer(",5934,0
annotations/src/test/java/org/hibernate/test/annotations/embedded/WealthyPerson.java,1,"@CollectionTable(name=\""XXXHOMES\"")",5970,0
annotations/src/test/java/org/hibernate/test/annotations/lob/CharacterArrayTextType.java,1,todo name these annotation types for addition to the registry,5854,0
annotations/src/test/java/org/hibernate/test/annotations/lob/PrimitiveCharacterArrayTextType.java,1,todo name these annotation types for addition to the registry,5854,0
annotations/src/test/java/org/hibernate/test/annotations/lob/SerializableToImageType.java,1,todo name these annotation types for addition to the registry,5854,0
annotations/src/test/java/org/hibernate/test/annotations/lob/WrappedImageType.java,1,todo name these annotation types for addition to the registry,5854,0
annotations/src/test/org/hibernate/test/annotations/AlternativeNamingStrategy.java,1,use of a stringbuffer to workaround a JDK bug,6404,0
annotations/src/test/org/hibernate/test/annotations/cascade/CascadeTest.java,1,FIXME do somthing for refresh,6404,0
annotations/src/test/org/hibernate/test/annotations/cid/CompositeIdTest.java,2,FIXME mke it work in unambigious cases,6404,0
annotations/src/test/org/hibernate/test/annotations/collectionelement/CollectionElementTest.java,1,TODO: doesn't work,6404,0
annotations/src/test/org/hibernate/test/annotations/collectionelement/CountryAttitude.java,1,"TODO: This currently does not work
@ManyToOne(optional = false)",6404,0
annotations/src/test/org/hibernate/test/annotations/entity/MonetaryAmountUserType.java,1,TODO: improve,6404,0
annotations/src/test/org/hibernate/test/annotations/identifiercollection/Passport.java,1,TODO test identity generator,6404,0
annotations/src/test/org/hibernate/test/annotations/idmanytoone/IdManyToOneTest.java,1,TODO test Customers / ShoppingBaskets / BasketItems testIdClassManyToOneWithReferenceColumn,6404,0
annotations/src/test/org/hibernate/test/annotations/inheritance/SubclassTest.java,1,subclasses should be properly reordered,6404,0
annotations/src/test/org/hibernate/test/annotations/inheritance/Tomato.java,1,"FIXME HBX-55 default for composite PK does not work yet
FIXME Tomato is a fruit",6404,0
annotations/src/test/org/hibernate/test/annotations/join/Cat.java,1,"Bug HHH-36
@OneToMany(cascade=CascadeType.ALL, fetch=FetchType.EAGER)
@JoinColumn(name=\""CAT_ID\"", secondaryTable=\""ExtendedLife\"")",6404,0
annotations/src/test/org/hibernate/test/annotations/manytoone/ManyToOneTest.java,1,FIXME: fix this when the small parser bug will be fixed,6404,0
annotations/src/test/org/hibernate/test/annotations/query/QueryAndSQLTest.java,1,FIXME vary depending on databases,6404,0
annotations/src/test/org/hibernate/test/annotations/type/MyOidType.java,1,todo is this correct?,6404,0
annotations/src/test/org/hibernate/test/annotations/various/IndexTest.java,1,TODO find a way to test indexes???,6404,0
buildSrc/src/main/java/org/hibernate/build/gradle/upload/AuthenticationHandler.java,1,todo : unfortunately I have no idea how to apply this to non MavenDeployer-type repos...,5571,0
buildSrc/src/main/java/org/hibernate/build/gradle/upload/UploadAuthenticationManager.java,2,"todo : ideally the registry would be handled by a convention to allow configuration (aka, adding more providers)...
for our purposes here in Hibernate we only care about the Maven settings.xml based w | todo: Also in conjunction, would be best to have the handler lookup the registry rather than pushing it",5571,0
cache-infinispan/src/main/java/org/hibernate/cache/infinispan/access/PutFromLoadValidator.java,3,"Process the overage queue until we find an item to clean
or an incomplete item that hasn't aged out | This lock should be available very quickly, but we'll be
very patient waiting for it as callers should treat not
acquiring it as an exception condition | Something's gone wrong and the lock isn't being released.
We removed toClean from the queue and need to restore it
TODO this is pretty dodgy",6018,0
cache-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseRegion.java,1,"If copying causes issues, provide a lazily loaded Map",6018,0
cache-infinispan/src/main/java/org/hibernate/cache/infinispan/timestamp/TimestampsRegionImpl.java,2,TODO Is this a valid operation on a timestamps cache?,6107,0
cache-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/DualNodeJtaTransactionImpl.java,4,"todo : find the spec-allowable statuses during which synch can be registered... | todo we only support one phase commit for now, change this!!! | todo implement!!!",6107,0
cache-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/EntityCollectionInvalidationTestCase.java,1,"Sleep a bit to let async commit propagate. Really just to
help keep the logs organized for debugging any issues",6107,0
cache-infinispan/src/test/java/org/hibernate/test/cache/infinispan/tm/XaTransactionImpl.java,4,"todo : find the spec-allowable statuses during which synch can be registered... | todo we only support one phase commit for now, change this!!! | todo implement!!!",6107,0
