file_path,complexity,cognitive_complexity,bugs,code_smells,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
hibernate-core/src/main/java/org/hibernate/sql/results/graph/collection/internal/AbstractCollectionResultNode.java,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,A,A
hibernate-core/src/main/java/org/hibernate/sql/ast/tree/from/AbstractColumnReferenceQualifier.java,4.0,4.0,0.0,0.0,0.0,0.0,0.0,56.0,A,A
hibernate-core/src/main/java/org/hibernate/query/spi/AbstractCommonQueryContract.java,249.0,231.0,0.0,9.0,58.0,9.0,0.0,1449.0,A,A
hibernate-core/src/main/java/org/hibernate/metamodel/internal/AbstractCompositeIdentifierMapping.java,28.0,12.0,0.0,1.0,2.0,1.0,0.0,293.0,A,A
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/id/AbstractCompositeIdMapper.java,10.0,6.0,0.0,0.0,0.0,0.0,0.0,77.0,A,A
hibernate-core/src/main/java/org/hibernate/tuple/component/AbstractCompositionAttribute.java,3.0,0.0,0.0,1.0,10.0,1.0,0.0,46.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/model/convert/internal/AbstractConverterDescriptor.java,10.0,4.0,0.0,1.0,2.0,1.0,0.0,111.0,A,A
hibernate-core/src/main/java/org/hibernate/query/sqm/mutation/internal/cte/AbstractCteMutationHandler.java,21.0,12.0,0.0,1.0,2.0,1.0,0.0,333.0,A,A
hibernate-core/src/main/java/org/hibernate/context/spi/AbstractCurrentSessionContext.java,8.0,5.0,0.0,0.0,0.0,0.0,0.0,64.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/jdbc/connections/spi/AbstractDataSourceBasedMultiTenantConnectionProviderImpl.java,10.0,4.0,0.0,1.0,5.0,1.0,0.0,69.0,A,A
hibernate-envers/src/main/java/org/hibernate/envers/internal/entities/mapper/relation/lazy/AbstractDelegateSessionImplementor.java,2.0,0.0,0.0,1.0,2.0,1.0,0.0,28.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingMetadata.java,43.0,0.0,0.0,1.0,2.0,1.0,0.0,262.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingMetadataBuilderImplementor.java,35.0,0.0,0.0,1.0,2.0,1.0,0.0,257.0,A,A
hibernate-core/src/main/java/org/hibernate/boot/spi/AbstractDelegatingMetadataBuildingOptions.java,29.0,2.0,0.0,1.0,2.0,1.0,0.0,185.0,A,A
hibernate-core/src/main/java/org/hibernate/engine/spi/AbstractDelegatingSessionBuilder.java,18.0,0.0,0.0,1.0,2.0,1.0,0.0,132.0,A,A
