file_path,commit_count,unique_authors,churn,days_since_modified,file_age_days
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AbstractPropertyHolder.java,5,2,370,112,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AggregateComponentSecondPass.java,3,2,54,167,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AnnotatedColumn.java,20,4,517,18,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AnnotatedColumns.java,3,2,46,111,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AnnotatedDiscriminatorColumn.java,1,1,6,259,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/AnnotationBinder.java,12,3,358,107,1354
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BasicValueBinder.java,10,3,828,17,1354
hibernate-core/src/main/java/org/hibernate/boot/model/internal/BinderHelper.java,14,2,641,19,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/ClassPropertyHolder.java,10,2,227,94,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionBinder.java,34,5,1539,19,1259
hibernate-core/src/main/java/org/hibernate/boot/model/internal/CollectionPropertyHolder.java,10,2,48,95,1259
hibernate-core/src/main/java/org/hibernate/boot/model/internal/ColumnsBuilder.java,6,1,137,82,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/CopyIdentifierComponentSecondPass.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/internal/EmbeddableBinder.java,24,6,949,18,1231
hibernate-core/src/main/java/org/hibernate/boot/model/internal/EntityBinder.java,35,6,1308,4,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/GeneratorBinder.java,17,2,702,2,1231
hibernate-core/src/main/java/org/hibernate/boot/model/internal/IdBagBinder.java,3,1,109,225,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/IndexBinder.java,4,2,58,122,996
hibernate-core/src/main/java/org/hibernate/boot/model/internal/IndexOrUniqueKeySecondPass.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/internal/InheritanceState.java,8,3,266,18,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/JPAXMLOverriddenAnnotationReader.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/internal/JPAXMLOverriddenMetadataProvider.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/internal/OneToOneSecondPass.java,4,2,190,186,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/PropertyBinder.java,21,3,582,5,1287
hibernate-core/src/main/java/org/hibernate/boot/model/internal/PropertyContainer.java,2,1,142,129,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/QueryBinder.java,10,2,619,16,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/QueryHintDefinition.java,5,2,87,16,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/TableBinder.java,10,4,162,94,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/ToOneBinder.java,17,3,643,73,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/ToOneFkSecondPass.java,1,1,15,259,1238
hibernate-core/src/main/java/org/hibernate/boot/model/internal/XMLContext.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/naming/Identifier.java,4,3,148,173,4079
hibernate-core/src/main/java/org/hibernate/boot/model/naming/ImplicitNamingStrategyJpaCompliantImpl.java,5,1,273,18,4079
hibernate-core/src/main/java/org/hibernate/boot/model/process/internal/InferredBasicValueResolver.java,6,2,345,151,2441
hibernate-core/src/main/java/org/hibernate/boot/model/process/internal/ManagedResourcesImpl.java,3,1,18,129,3965
hibernate-core/src/main/java/org/hibernate/boot/model/process/internal/ScanningCoordinator.java,8,2,762,54,3965
hibernate-core/src/main/java/org/hibernate/boot/model/process/spi/MetadataBuildingProcess.java,9,6,508,54,3965
hibernate-core/src/main/java/org/hibernate/boot/model/process/spi/NoOpMetadataSourceProcessorImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/relational/ColumnOrderingStrategyLegacy.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/relational/ColumnOrderingStrategyStandard.java,1,1,6,237,1241
hibernate-core/src/main/java/org/hibernate/boot/model/relational/QualifiedNameParser.java,6,4,54,173,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java,8,2,213,61,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/AbstractPluralAttributeSourceImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/AttributesHelper.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/CompositeIdentifierSingularAttributeSourceManyToOneImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/EntityHierarchyBuilder.java,3,1,125,234,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/EntityHierarchySourceImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/FetchCharacteristicsPluralAttributeImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/FetchCharacteristicsSingularAssociationImpl.java,1,1,7,127,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/FilterDefinitionBinder.java,3,1,88,234,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/HbmMetadataSourceProcessorImpl.java,3,1,42,234,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/Helper.java,2,2,23,96,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/ModelBinder.java,21,3,4605,80,4079
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/PluralAttributeKeySourceImpl.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/RelationalValueSourceHelper.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/boot/query/BootQueryLogging.java,1,1,2,301,2090
hibernate-core/src/main/java/org/hibernate/boot/query/HbmResultSetMappingDescriptor.java,4,1,63,138,2102
hibernate-core/src/main/java/org/hibernate/boot/registry/BootstrapServiceRegistryBuilder.java,1,1,38,176,5003
hibernate-core/src/main/java/org/hibernate/boot/registry/classloading/internal/AggregatedClassLoader.java,1,1,19,291,2764
hibernate-core/src/main/java/org/hibernate/boot/registry/internal/BootstrapServiceRegistryImpl.java,8,1,100,176,5003
hibernate-core/src/main/java/org/hibernate/boot/registry/selector/internal/DefaultDialectSelector.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/bytecode/BytecodeLogging.java,1,1,23,240,1915
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/BiDirectionalAssociationHandler.java,8,4,327,129,3505
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/EnhancerImpl.java,12,6,1300,86,3505
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/InlineDirtyCheckingHandler.java,2,2,64,129,3505
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/bytebuddy/PersistentAttributeTransformer.java,7,3,170,129,3505
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/internal/tracker/NoopCollectionTracker.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/interceptor/EnhancementAsProxyLazinessInterceptor.java,8,3,209,174,2579
hibernate-core/src/main/java/org/hibernate/bytecode/enhance/spi/interceptor/EnhancementHelper.java,7,2,181,19,2579
hibernate-core/src/main/java/org/hibernate/bytecode/internal/BytecodeEnhancementMetadataPojoImpl.java,7,3,111,155,1249
hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/BytecodeProviderImpl.java,9,3,1192,238,3505
hibernate-core/src/main/java/org/hibernate/bytecode/internal/bytebuddy/HibernateMethodLookupDispatcher.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/bytecode/internal/none/DisallowedProxyFactory.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/bytecode/spi/ClassTransformer.java,1,1,9,73,5532
hibernate-core/src/main/java/org/hibernate/cache/RegionFactory.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cache/cfg/internal/DomainDataRegionConfigImpl.java,2,1,57,144,2980
hibernate-core/src/main/java/org/hibernate/cache/internal/CollectionCacheInvalidator.java,6,2,81,247,4629
hibernate-core/src/main/java/org/hibernate/cache/internal/DisabledCaching.java,2,1,30,155,2980
hibernate-core/src/main/java/org/hibernate/cache/internal/EnabledCaching.java,9,1,350,154,2980
hibernate-core/src/main/java/org/hibernate/cache/internal/NaturalIdCacheKey.java,1,1,21,254,3456
hibernate-core/src/main/java/org/hibernate/cache/internal/NoCachingRegionFactory.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cache/internal/NoCachingTransactionSynchronizationImpl.java,1,1,8,254,2980
hibernate-core/src/main/java/org/hibernate/cache/internal/QueryResultsCacheImpl.java,4,1,127,254,2966
hibernate-core/src/main/java/org/hibernate/cache/internal/StrategyCreatorRegionFactoryImpl.java,1,1,8,254,3629
hibernate-core/src/main/java/org/hibernate/cache/spi/QueryResultsCache.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cache/spi/entry/CollectionCacheEntry.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cache/spi/support/AbstractReadWriteAccess.java,7,1,360,91,2977
hibernate-core/src/main/java/org/hibernate/cache/spi/support/DomainDataRegionTemplate.java,4,1,139,129,2972
hibernate-core/src/main/java/org/hibernate/cfg/BatchSettings.java,2,1,19,233,999
hibernate-core/src/main/java/org/hibernate/cfg/BytecodeSettings.java,1,1,1,233,999
hibernate-core/src/main/java/org/hibernate/cfg/C3p0Settings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/CacheSettings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,9,2,125,100,5692
hibernate-core/src/main/java/org/hibernate/cfg/DialectSpecificSettings.java,2,1,21,409,906
hibernate-core/src/main/java/org/hibernate/cfg/EnvironmentSettings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/FetchSettings.java,1,1,2,100,999
hibernate-core/src/main/java/org/hibernate/cfg/JpaComplianceSettings.java,1,1,1,233,999
hibernate-core/src/main/java/org/hibernate/cfg/ManagedBeanSettings.java,1,1,4,233,999
hibernate-core/src/main/java/org/hibernate/cfg/MappingSettings.java,6,3,57,100,999
hibernate-core/src/main/java/org/hibernate/cfg/MultiTenancySettings.java,6,1,86,108,999
hibernate-core/src/main/java/org/hibernate/cfg/PersistenceSettings.java,2,2,45,54,999
hibernate-core/src/main/java/org/hibernate/cfg/ProxoolSettings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/QuerySettings.java,4,3,30,13,999
hibernate-core/src/main/java/org/hibernate/cfg/SchemaToolingSettings.java,6,3,49,8,999
hibernate-core/src/main/java/org/hibernate/cfg/SecondPass.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/SessionEventSettings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/cfg/StatisticsSettings.java,1,1,2,100,999
hibernate-core/src/main/java/org/hibernate/cfg/TransactionSettings.java,2,2,10,100,999
hibernate-core/src/main/java/org/hibernate/cfg/ValidationSettings.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/collection/spi/AbstractPersistentCollection.java,16,5,420,5,5485
hibernate-core/src/main/java/org/hibernate/collection/spi/PersistentList.java,4,2,248,5,1586
hibernate-core/src/main/java/org/hibernate/context/internal/JTASessionContext.java,7,2,107,120,5485
hibernate-core/src/main/java/org/hibernate/context/internal/ThreadLocalSessionContext.java,4,1,106,239,5485
hibernate-core/src/main/java/org/hibernate/dialect/AbstractHANADialect.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/AbstractPostgreSQLStructJdbcType.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/AbstractTransactSQLDialect.java,7,4,175,44,5692
hibernate-core/src/main/java/org/hibernate/dialect/CockroachDialect.java,21,6,400,33,2298
hibernate-core/src/main/java/org/hibernate/dialect/DB2Dialect.java,16,3,547,66,5692
hibernate-core/src/main/java/org/hibernate/dialect/DB2SqlAstTranslator.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/DB2zDialect.java,10,4,101,109,1983
hibernate-core/src/main/java/org/hibernate/dialect/Database.java,4,3,66,11,3255
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,53,12,1673,5,5485
hibernate-core/src/main/java/org/hibernate/dialect/H2Dialect.java,16,5,275,17,5692
hibernate-core/src/main/java/org/hibernate/dialect/HSQLDialect.java,12,6,200,79,5692
hibernate-core/src/main/java/org/hibernate/dialect/JsonHelper.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/MariaDBDialect.java,11,5,152,66,3378
hibernate-core/src/main/java/org/hibernate/dialect/MySQLDialect.java,20,7,362,66,5692
hibernate-core/src/main/java/org/hibernate/dialect/MySQLSqlAstTranslator.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/OracleArrayJdbcType.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/OracleDialect.java,43,10,615,9,5692
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQLDialect.java,25,7,674,39,5692
hibernate-core/src/main/java/org/hibernate/dialect/PostgreSQLDriverKind.java,1,1,13,345,1668
hibernate-core/src/main/java/org/hibernate/dialect/Replacer.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/SQLServerDialect.java,13,4,336,66,5692
hibernate-core/src/main/java/org/hibernate/dialect/SQLServerSqlAstTranslator.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/SpannerDialect.java,18,3,1446,27,2298
hibernate-core/src/main/java/org/hibernate/dialect/StructJdbcType.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASEDialect.java,8,3,138,48,2298
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASESqlAstTranslator.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/SybaseDialect.java,7,3,66,44,5692
hibernate-core/src/main/java/org/hibernate/dialect/XmlHelper.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/aggregate/DB2AggregateSupport.java,4,2,129,17,1259
hibernate-core/src/main/java/org/hibernate/dialect/aggregate/OracleAggregateSupport.java,15,5,415,16,1259
hibernate-core/src/main/java/org/hibernate/dialect/aggregate/PostgreSQLAggregateSupport.java,2,1,21,17,1259
hibernate-core/src/main/java/org/hibernate/dialect/function/AggregateWindowEmulationQueryTransformer.java,1,1,6,4,1559
hibernate-core/src/main/java/org/hibernate/dialect/function/CastFunction.java,4,2,35,272,5692
hibernate-core/src/main/java/org/hibernate/dialect/function/CommonFunctionFactory.java,14,7,483,31,2331
hibernate-core/src/main/java/org/hibernate/dialect/function/CountFunction.java,2,2,29,39,1691
hibernate-core/src/main/java/org/hibernate/dialect/function/ExtractFunction.java,2,2,8,129,2298
hibernate-core/src/main/java/org/hibernate/dialect/function/FormatFunction.java,1,1,2,129,1529
hibernate-core/src/main/java/org/hibernate/dialect/function/HypotheticalSetWindowEmulation.java,0,0,0,0,0
hibernate-core/src/main/java/org/hibernate/dialect/function/InverseDistributionWindowEmulation.java,0,0,0,0,0
