issue_key,file_path,file,rule,impact_severity,impact_quality,type,message,line,effort,bugs,vulnerabilities,code_smells,violations,complexity,cognitive_complexity,sqale_index,lines,reliability_rating,security_rating,commit_count,unique_authors,churn,days_since_modified,satd_count,satd_text
AZ4HYWYnUdMD1-xUpqhC,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""time '"" 3 times.",569.0,8min,0.0,0.0,3.0,3.0,169.0,64.0,24.0,1092.0,A,A,12,4,380,153,1.0,but perhaps they were in older versions?
AZ4HYWYnUdMD1-xUpqhB,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacyDialect.java,DB2LegacyDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""timestamp '"" 3 times.",574.0,8min,0.0,0.0,3.0,3.0,169.0,64.0,24.0,1092.0,A,A,12,4,380,153,1.0,but perhaps they were in older versions?
AZ4HYWWNUdMD1-xUpqfV,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacySqlAstTranslator.java,DB2LegacySqlAstTranslator.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""xmlserialize("" 8 times.",388.0,18min,0.0,0.0,2.0,2.0,112.0,93.0,36.0,523.0,A,A,2,1,23,178,,
AZ4HYWWNUdMD1-xUpqfU,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2LegacySqlAstTranslator.java,DB2LegacySqlAstTranslator.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal "" as varchar(32672))"" 8 times.",390.0,18min,0.0,0.0,2.0,2.0,112.0,93.0,36.0,523.0,A,A,2,1,23,178,,
AZ4HYWaCUdMD1-xUpqiJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/DB2zLegacyDialect.java,DB2zLegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,80.0,5min,0.0,0.0,4.0,4.0,46.0,22.0,12.0,253.0,A,A,4,3,52,179,2.0,"TODO: when was 'create unique where not null index' really first introduced? | just on the basis of the DB2 docs, but I currently have no way to test it"
AZ4HYWa7UdMD1-xUpqjK,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""ascii_char"" 3 times.",314.0,8min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,2.0,"Formally, Firebird has a (fixed) precision of 4 (100 microseconds), | Note: Firebird 3 has an 'off by increment' bug (fixed in Firebird 4), see"
AZ4HYWa7UdMD1-xUpqjJ,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""date '"" 3 times.",797.0,8min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,2.0,"Formally, Firebird has a (fixed) precision of 4 (100 microseconds), | Note: Firebird 3 has an 'off by increment' bug (fixed in Firebird 4), see"
AZ4HYWa7UdMD1-xUpqjM,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""time '"" 3 times.",802.0,8min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,2.0,"Formally, Firebird has a (fixed) precision of 4 (100 microseconds), | Note: Firebird 3 has an 'off by increment' bug (fixed in Firebird 4), see"
AZ4HYWa7UdMD1-xUpqjL,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/FirebirdDialect.java,FirebirdDialect.java,java:S1192,HIGH,MAINTAINABILITY,CODE_SMELL,"Define a constant instead of duplicating this literal ""timestamp '"" 3 times.",807.0,8min,0.0,0.0,6.0,6.0,198.0,92.0,42.0,1098.0,A,A,5,4,375,285,2.0,"Formally, Firebird has a (fixed) precision of 4 (100 microseconds), | Note: Firebird 3 has an 'off by increment' bug (fixed in Firebird 4), see"
AZ4HYWaFUdMD1-xUpqiT,hibernate-community-dialects/src/main/java/org/hibernate/community/dialect/H2LegacyDialect.java,H2LegacyDialect.java,java:S131,HIGH,MAINTAINABILITY,CODE_SMELL,Add a default case to this switch.,230.0,5min,0.0,0.0,13.0,13.0,161.0,74.0,77.0,959.0,A,A,11,5,72,39,3.0,"H2 1.4.200 has a bug: https://github.com/h2database/h2database/issues/3184 | functionFactory.everyAny(); //this would work too | H2 requires a very special emulation, because {@code unnest} is pretty much useless,"
