file_path,complexity,bugs,code_smells,cognitive_complexity,sqale_index,violations,vulnerabilities,lines,reliability_rating,security_rating
lib/sqlalchemy/testing/asyncio.py,17.0,0.0,0.0,19.0,0.0,0.0,0.0,136.0,A,A
lib/sqlalchemy/dialects/mysql/asyncmy.py,55.0,0.0,14.0,19.0,72.0,14.0,0.0,338.0,A,A
lib/sqlalchemy/dialects/postgresql/asyncpg.py,164.0,0.0,17.0,141.0,67.0,17.0,0.0,1279.0,A,A
lib/sqlalchemy/event/attr.py,117.0,1.0,8.0,64.0,40.0,9.0,0.0,656.0,E,A
lib/sqlalchemy/orm/attributes.py,358.0,0.0,19.0,359.0,130.0,19.0,0.0,2836.0,A,A
lib/sqlalchemy/ext/automap.py,72.0,0.0,17.0,116.0,145.0,19.0,2.0,1692.0,A,E
lib/sqlalchemy/ext/baked.py,66.0,0.0,1.0,44.0,0.0,1.0,0.0,575.0,A,A
lib/sqlalchemy/dialects/sqlite/base.py,262.0,2.0,11.0,315.0,119.0,13.0,0.0,2807.0,C,A
lib/sqlalchemy/dialects/mssql/base.py,422.0,0.0,22.0,409.0,162.0,22.0,0.0,4012.0,A,A
lib/sqlalchemy/dialects/postgresql/base.py,478.0,1.0,21.0,538.0,296.0,26.0,4.0,5008.0,C,E
lib/sqlalchemy/dialects/mysql/base.py,391.0,0.0,13.0,384.0,113.0,20.0,7.0,3450.0,A,E
lib/sqlalchemy/dialects/oracle/base.py,400.0,1.0,11.0,473.0,208.0,12.0,0.0,3273.0,C,A
lib/sqlalchemy/engine/base.py,364.0,0.0,22.0,381.0,219.0,23.0,1.0,3376.0,A,E
lib/sqlalchemy/testing/fixtures/base.py,50.0,0.0,3.0,111.0,95.0,3.0,0.0,367.0,A,A
lib/sqlalchemy/sql/base.py,268.0,0.0,11.0,202.0,63.0,11.0,0.0,2186.0,A,A
lib/sqlalchemy/orm/base.py,77.0,0.0,0.0,42.0,0.0,0.0,0.0,972.0,A,A
lib/sqlalchemy/ext/asyncio/base.py,34.0,1.0,1.0,34.0,13.0,2.0,0.0,280.0,E,A
lib/sqlalchemy/pool/base.py,174.0,0.0,4.0,177.0,69.0,4.0,0.0,1516.0,A,A
lib/sqlalchemy/event/base.py,68.0,0.0,2.0,45.0,10.0,2.0,0.0,471.0,A,A
lib/sqlalchemy/testing/plugin/bootstrap.py,2.0,0.0,1.0,2.0,20.0,1.0,0.0,52.0,A,A
lib/sqlalchemy/orm/bulk_persistence.py,242.0,0.0,7.0,309.0,67.0,7.0,0.0,2085.0,A,A
lib/sqlalchemy/sql/cache_key.py,97.0,1.0,46.0,120.0,253.0,47.0,0.0,1058.0,E,A
lib/sqlalchemy/engine/characteristics.py,15.0,0.0,3.0,3.0,15.0,3.0,0.0,156.0,A,A
lib/sqlalchemy/orm/clsregistry.py,83.0,0.0,4.0,116.0,22.0,4.0,0.0,572.0,A,A
lib/sqlalchemy/sql/coercions.py,203.0,1.0,9.0,249.0,84.0,10.0,0.0,1406.0,B,A
lib/sqlalchemy/orm/collections.py,269.0,0.0,43.0,357.0,403.0,43.0,0.0,1621.0,A,A
lib/sqlalchemy/util/compat.py,54.0,0.0,1.0,57.0,13.0,1.0,0.0,301.0,A,A
lib/sqlalchemy/sql/compiler.py,1158.0,1.0,153.0,1323.0,1258.0,154.0,0.0,7819.0,B,A
lib/sqlalchemy/ext/compiler.py,16.0,0.0,3.0,26.0,6.0,3.0,0.0,556.0,A,A
lib/sqlalchemy/util/concurrency.py,21.0,0.0,11.0,13.0,57.0,11.0,0.0,109.0,A,A
