file_path,commit_count,unique_authors,churn,days_since_modified,file_age_days
lib/sqlalchemy/sql/ddl.py,12,5,1214,2,4654
lib/sqlalchemy/sql/default_comparator.py,3,2,366,116,4654
lib/sqlalchemy/sql/dml.py,10,3,105,2,4654
lib/sqlalchemy/sql/elements.py,27,10,1450,2,4654
lib/sqlalchemy/sql/events.py,1,1,2,116,2301
lib/sqlalchemy/sql/lambdas.py,6,3,32,2,2337
lib/sqlalchemy/sql/naming.py,2,2,7,116,4481
lib/sqlalchemy/sql/operators.py,7,3,481,116,6840
lib/sqlalchemy/sql/schema.py,15,5,998,2,4654
lib/sqlalchemy/sql/selectable.py,34,10,672,2,4654
lib/sqlalchemy/sql/sqltypes.py,25,4,471,2,4654
lib/sqlalchemy/sql/traversals.py,3,2,8,2,2446
lib/sqlalchemy/sql/util.py,9,2,36,2,6840
lib/sqlalchemy/sql/visitors.py,5,3,14,116,6840
lib/sqlalchemy/testing/assertions.py,4,1,18,116,4973
lib/sqlalchemy/testing/assertsql.py,3,1,9,116,4973
lib/sqlalchemy/testing/engines.py,6,2,138,2,4973
lib/sqlalchemy/testing/entities.py,1,1,2,116,4973
lib/sqlalchemy/testing/exclusions.py,3,1,49,116,4973
lib/sqlalchemy/testing/fixtures/base.py,4,2,30,79,1052
lib/sqlalchemy/testing/fixtures/mypy.py,4,3,87,2,1052
lib/sqlalchemy/testing/fixtures/orm.py,1,1,2,116,1052
lib/sqlalchemy/testing/fixtures/sql.py,3,1,35,116,1052
lib/sqlalchemy/testing/pickleable.py,1,1,2,116,4973
lib/sqlalchemy/testing/plugin/plugin_base.py,6,2,65,116,4451
lib/sqlalchemy/testing/plugin/pytestplugin.py,5,2,48,2,4451
lib/sqlalchemy/testing/provision.py,9,2,125,2,4255
lib/sqlalchemy/testing/requirements.py,19,7,152,96,4973
lib/sqlalchemy/testing/schema.py,2,1,32,116,4973
lib/sqlalchemy/testing/util.py,4,2,18,2,4973
lib/sqlalchemy/util/_concurrency_py3k.py,0,0,0,0,0
lib/sqlalchemy/util/_py_collections.py,0,0,0,0,0
lib/sqlalchemy/util/compat.py,6,4,112,24,5642
lib/sqlalchemy/util/deprecations.py,1,1,2,116,5642
lib/sqlalchemy/util/langhelpers.py,12,3,434,2,5642
lib/sqlalchemy/util/topological.py,1,1,2,116,5635
lib/sqlalchemy/util/typing.py,8,3,132,17,1669
lib/sqlalchemy/__init__.py,17,5,42,24,7618
lib/sqlalchemy/dialects/mssql/pymssql.py,2,2,3,2,6121
lib/sqlalchemy/dialects/oracle/types.py,5,4,55,54,1669
lib/sqlalchemy/dialects/postgresql/array.py,5,2,41,116,3919
lib/sqlalchemy/dialects/postgresql/asyncpg.py,14,4,290,23,2218
lib/sqlalchemy/dialects/postgresql/dml.py,1,1,2,116,3678
lib/sqlalchemy/dialects/postgresql/pg_catalog.py,3,3,34,116,1669
lib/sqlalchemy/engine/mock.py,2,2,3,2,2586
lib/sqlalchemy/event/api.py,3,2,8,2,4671
lib/sqlalchemy/event/base.py,3,2,5,2,4671
lib/sqlalchemy/ext/serializer.py,2,2,3,2,6394
lib/sqlalchemy/inspection.py,3,2,5,2,5150
lib/sqlalchemy/orm/__init__.py,9,2,14,108,7290
lib/sqlalchemy/orm/_orm_constructors.py,6,5,120,116,1689
lib/sqlalchemy/orm/evaluator.py,2,2,3,2,6555
lib/sqlalchemy/orm/instrumentation.py,3,2,5,2,5716
lib/sqlalchemy/orm/sync.py,1,1,2,116,7290
lib/sqlalchemy/sql/__init__.py,8,3,12,81,6840
lib/sqlalchemy/sql/type_api.py,10,3,163,77,4654
lib/sqlalchemy/testing/config.py,6,1,45,116,4973
lib/sqlalchemy/testing/plugin/bootstrap.py,2,2,3,2,4255
lib/sqlalchemy/testing/profiling.py,4,3,8,2,4973
lib/sqlalchemy/util/concurrency.py,3,3,8,116,2136
lib/sqlalchemy/util/tool_support.py,2,2,3,2,1208
lib/sqlalchemy/connectors/aioodbc.py,4,2,24,67,951
lib/sqlalchemy/connectors/asyncio.py,7,4,177,116,951
lib/sqlalchemy/dialects/mssql/aioodbc.py,2,1,6,116,951
lib/sqlalchemy/dialects/mssql/information_schema.py,3,2,66,2,6121
lib/sqlalchemy/dialects/mysql/cymysql.py,3,3,49,2,4830
lib/sqlalchemy/dialects/mysql/pyodbc.py,3,3,48,2,6121
lib/sqlalchemy/dialects/mysql/types.py,4,2,202,77,3779
lib/sqlalchemy/dialects/oracle/dictionary.py,1,1,2,116,1669
lib/sqlalchemy/dialects/postgresql/_psycopg_common.py,3,2,41,27,2218
lib/sqlalchemy/dialects/postgresql/provision.py,3,2,19,27,2309
lib/sqlalchemy/dialects/postgresql/psycopg2cffi.py,2,2,3,2,4200
lib/sqlalchemy/dialects/sqlite/pysqlcipher.py,2,2,20,27,4211
lib/sqlalchemy/engine/strategies.py,2,2,7,116,7290
lib/sqlalchemy/ext/baked.py,2,2,3,2,4077
lib/sqlalchemy/ext/indexable.py,3,2,57,116,3680
lib/sqlalchemy/log.py,4,3,8,2,6575
lib/sqlalchemy/sql/functions.py,20,7,547,48,6731
lib/sqlalchemy/sql/roles.py,3,2,15,116,2567
